id,family,car,date,count
643,Toyota,Camry Hybrid,12/19/2011,69
644,Jeep,Compass,2/11/2018,10
645,Audi,A3,7/8/2017,88
646,Hummer,H1,10/28/2013,47
647,Mitsubishi,Lancer,9/23/2013,
648,Hummer,H2,1/15/2014,36
649,Mercedes-Benz,GLK-Class,10/28/2015,71
650,Mazda,Millenia,3/1/2017,90
651,Lincoln,Town Car,7/5/2019,14
652,Nissan,GT-R,1/28/2019,53
653,GMC,Safari,11/7/2014,58
654,Acura,RDX,3/28/2015,93
655,Ford,Econoline E350,1/6/2010,63
656,Toyota,Previa,11/11/2019,13
657,Dodge,Ram 2500,9/1/2011,
658,Chevrolet,Citation,11/5/2017,42
659,Subaru,Tribeca,2/24/2015,98
660,Hummer,H2,6/14/2010,89
661,Mitsubishi,Outlander,3/5/2017,24
662,Land Rover,Freelander,8/25/2014,36
663,Dodge,Sprinter,9/9/2013,56
664,Volvo,XC90,8/3/2012,15
665,Plymouth,Sundance,4/29/2011,81
666,Ford,Flex,12/12/2016,91
667,Isuzu,Hombre Space,7/2/2016,
668,Pontiac,Grand Am,2/24/2019,13
669,Audi,S8,3/20/2010,
670,BMW,6 Series,11/29/2010,90
671,Mazda,B-Series Plus,1/2/2013,11
672,Mitsubishi,Eclipse,3/7/2015,42
673,Ford,F250,10/8/2014,55
674,GMC,Jimmy,11/16/2014,81
675,Jeep,Wrangler,11/3/2011,26
676,Dodge,Durango,9/6/2016,59
677,Plymouth,Neon,4/29/2011,100
678,Chevrolet,Venture,7/5/2015,
679,GMC,Yukon,10/6/2013,11
680,Chevrolet,Express 2500,7/14/2018,58
681,Chevrolet,TrailBlazer,9/20/2013,87
682,Chevrolet,Tracker,12/31/2010,90
683,Lotus,Esprit,5/26/2010,10
684,Mercedes-Benz,W201,5/16/2014,70
685,Lincoln,MKT,8/19/2011,11
686,Hyundai,Sonata,7/17/2010,34
687,Pontiac,Bonneville,1/17/2015,41
688,Lincoln,Continental,2/12/2018,67
689,Lexus,GS,9/6/2015,55
690,Dodge,Neon,5/16/2011,71
691,Buick,Park Avenue,8/20/2010,
692,Chevrolet,Silverado 1500,12/30/2010,
693,Ford,Five Hundred,7/28/2012,46
694,Ford,Mustang,11/22/2017,79
695,Chrysler,300,6/2/2012,24
696,Mitsubishi,GTO,6/15/2017,85
697,Mercury,Cougar,10/1/2018,46
698,Mercury,Grand Marquis,8/4/2011,
699,Suzuki,Swift,11/30/2019,
700,Acura,TL,8/27/2016,
701,Volvo,240,8/30/2014,68
702,BMW,Z4 M,1/29/2015,87
703,Volvo,S80,8/19/2017,28
704,Dodge,Ram Van 3500,8/25/2010,81
705,Pontiac,LeMans,5/2/2010,98
706,Mitsubishi,Tredia,3/2/2018,31
707,Volkswagen,Jetta,9/12/2017,90
708,Honda,S2000,5/17/2010,75
709,Porsche,928,11/15/2019,99
710,Volkswagen,Golf,3/9/2017,83
711,Porsche,Cayenne,2/27/2017,58
712,Infiniti,Q,8/19/2015,
713,GMC,Sonoma Club Coupe,6/13/2011,83
714,GMC,3500 Club Coupe,2/17/2018,81
715,Toyota,Corolla,8/15/2019,98
716,Toyota,Camry,7/27/2019,100
717,Acura,Integra,6/11/2017,12
718,Isuzu,Oasis,9/19/2011,92
719,Suzuki,Swift,6/8/2012,29
720,Bentley,Continental Flying Spur,4/28/2011,97
721,Volvo,940,5/1/2010,
722,Kia,Sorento,6/28/2015,26
723,Honda,del Sol,4/16/2013,89
724,Mitsubishi,Lancer Evolution,1/9/2017,59
725,Volvo,V50,8/22/2011,44
726,Subaru,Legacy,2/22/2019,37
727,Hyundai,Tiburon,6/3/2016,27
728,Mitsubishi,Lancer,7/23/2012,77
729,Saturn,S-Series,9/14/2011,10
730,Daewoo,Leganza,1/6/2015,29
731,Ford,E-Series,6/24/2019,87
732,Bentley,Continental,1/25/2017,66
733,Chevrolet,Silverado,3/7/2011,44
734,GMC,Canyon,8/8/2018,41
735,Land Rover,Discovery,11/3/2018,
736,Chevrolet,Citation,9/11/2012,89
737,Mercedes-Benz,400E,4/25/2014,88
738,Infiniti,G,11/25/2016,34
739,Hyundai,Azera,7/29/2010,26
740,Ford,Windstar,6/22/2015,54
741,Ford,E350,8/13/2012,
742,Mitsubishi,Outlander,2/10/2011,
743,Volkswagen,Passat,3/4/2011,78
744,Mazda,Millenia,6/3/2017,84
745,Audi,A4,7/26/2017,38
746,Mazda,MX-5,9/14/2019,28
747,Plymouth,Colt,8/14/2014,12
748,Buick,Skyhawk,12/30/2016,96
749,Fiat,500,5/5/2012,54
750,Mazda,CX-9,10/5/2012,65
751,Toyota,Land Cruiser,10/19/2010,57
752,Volvo,V70,1/12/2011,76
753,Pontiac,Bonneville,8/16/2014,52
754,Lincoln,Navigator,4/17/2017,
755,Mazda,RX-8,10/3/2019,40
756,Honda,Accord,7/2/2015,30
757,Mercedes-Benz,SLK-Class,5/20/2014,99
758,Pontiac,G8,5/31/2019,11
759,Aston Martin,V8 Vantage,3/15/2019,22
760,GMC,Sierra 2500,12/20/2012,95
761,Acura,RDX,3/24/2017,56
762,Ford,Escape,10/18/2012,37
763,Honda,Fit,7/7/2015,44
764,Volkswagen,New Beetle,6/22/2015,38
765,Mercury,Mountaineer,11/9/2012,49
766,Nissan,240SX,9/14/2015,75
767,Honda,Insight,1/6/2016,34
768,Toyota,Tundra,4/17/2013,90
769,Ford,Escort,8/3/2014,96
770,Dodge,Durango,7/19/2014,23
771,Lincoln,Mark LT,6/18/2017,62
772,Subaru,Outback,4/15/2012,27
773,Mitsubishi,Montero,2/13/2011,60
774,Pontiac,Bonneville,4/6/2018,85
775,Chevrolet,Suburban 1500,6/28/2015,79
776,Plymouth,Colt,7/30/2016,24
777,Volkswagen,rio,1/9/2018,33
778,Pontiac,6000,5/29/2018,54
779,Lamborghini,Gallardo,8/25/2016,70
780,Dodge,Viper,10/25/2010,49
781,Mitsubishi,Starion,7/23/2018,70
782,BMW,Z4,11/23/2016,43
783,Ford,F-Series,1/29/2016,
784,GMC,Suburban 2500,1/26/2018,80
785,Kia,Rio,2/24/2016,30
786,Toyota,Yaris,10/31/2012,14
787,Mazda,Familia,4/24/2013,92
788,Mercury,Cougar,10/19/2011,55
789,GMC,Vandura 2500,5/14/2013,69
790,BMW,M5,3/26/2018,52
791,Chevrolet,Astro,3/9/2010,81
792,Subaru,Legacy,7/12/2013,57
793,Mazda,B-Series,9/8/2016,
794,Aston Martin,Vantage,10/4/2013,74
795,Nissan,Quest,11/30/2014,63
796,Volvo,XC70,9/24/2014,40
797,Mercedes-Benz,S-Class,8/22/2010,50
798,Mazda,Miata MX-5,4/20/2018,
799,GMC,Sonoma,11/20/2012,75
800,Cadillac,Escalade ESV,8/18/2017,29
801,Plymouth,Grand Voyager,12/24/2017,
802,Nissan,Quest,2/8/2010,68
803,Plymouth,Grand Voyager,10/8/2014,45
804,Mercedes-Benz,C-Class,10/3/2015,16
805,Lexus,LFA,6/18/2010,85
806,GMC,Acadia,10/15/2013,35
807,Nissan,Pathfinder,12/2/2011,69
808,Ford,Contour,4/23/2018,95
809,Dodge,Ram 2500,5/28/2010,40
810,Toyota,Solara,1/18/2015,
811,Chrysler,Imperial,9/21/2011,17
812,GMC,Jimmy,1/25/2013,96
813,Chevrolet,Avalanche,6/10/2015,24
814,Audi,Quattro,10/12/2010,62
815,Saturn,S-Series,6/10/2017,25
816,Chevrolet,Corvette,9/17/2015,99
817,Toyota,Supra,4/1/2010,41
818,Chevrolet,G-Series G20,12/8/2016,55
819,Infiniti,G,10/2/2013,54
820,Lexus,SC,10/14/2019,
821,Lotus,Esprit,10/29/2014,46
822,Nissan,Altima,7/6/2018,99
823,Toyota,Matrix,9/15/2019,82
824,Plymouth,Neon,12/23/2016,18
825,Lexus,SC,1/13/2012,44
826,Audi,S4,11/20/2012,
827,Toyota,RAV4,8/28/2014,63
828,Chrysler,Sebring,9/26/2017,44
829,Chevrolet,S10,7/16/2014,57
830,Mazda,RX-8,1/2/2012,28
831,Ford,Bronco II,4/30/2013,52
832,Volkswagen,Passat,12/19/2016,38
833,Mazda,MX-6,7/6/2019,95
834,Acura,RL,8/8/2017,11
835,Mercedes-Benz,CLK-Class,10/18/2011,47
836,Dodge,Avenger,9/19/2012,73
837,Oldsmobile,88,12/5/2018,13
838,BMW,M6,10/9/2013,91
839,MINI,Cooper,10/15/2014,46
840,GMC,Savana,9/19/2018,85
841,Chevrolet,Astro,10/25/2018,93
842,GMC,2500 Club Coupe,5/1/2018,97
843,Chrysler,Sebring,11/9/2011,15
844,Toyota,Corolla,12/19/2013,48
845,Mazda,CX-9,1/8/2012,14
846,Toyota,Prius Plug-in Hybrid,11/27/2014,73
847,Mazda,MX-5,5/25/2015,22
848,BMW,3 Series,12/12/2010,11
849,Mercury,Villager,6/14/2019,63
850,Audi,A6,5/24/2012,22
851,Chevrolet,Venture,4/20/2017,
852,Toyota,Sequoia,4/6/2018,48
853,Kia,Rio,1/21/2014,71
854,Maybach,57,3/8/2018,21
855,Hyundai,XG350,7/29/2017,34
856,Ford,Mustang,1/26/2015,13
857,BMW,5 Series,7/31/2017,69
858,Chevrolet,Silverado 3500,6/13/2012,45
859,Land Rover,Freelander,12/11/2015,40
860,Infiniti,M,6/27/2012,94
861,Land Rover,Range Rover Sport,10/19/2014,49
862,Cadillac,Fleetwood,7/9/2013,79
863,BMW,5 Series,11/12/2017,79
864,Bentley,Azure,8/8/2016,89
865,Porsche,968,2/26/2016,43
866,Audi,Coupe GT,6/5/2014,98
867,Maserati,Quattroporte,1/19/2018,32
868,Ford,Explorer Sport Trac,11/17/2018,
869,Mitsubishi,Diamante,7/3/2015,68
870,GMC,Sierra 1500,9/19/2010,75
871,GMC,Safari,2/26/2016,72
872,Isuzu,Ascender,9/12/2015,85
873,Mitsubishi,Montero,11/5/2010,70
874,Chrysler,PT Cruiser,3/11/2012,20
875,Saab,9-2X,7/11/2010,26
876,Ford,F250,9/14/2011,26
877,Pontiac,Bonneville,3/27/2013,57
878,Pontiac,Bonneville,12/13/2016,
879,Land Rover,Range Rover,8/6/2012,63
880,Mercedes-Benz,SL-Class,11/21/2014,66
881,Mitsubishi,Endeavor,11/18/2018,17
882,BMW,545,4/8/2013,65
883,Hyundai,Veracruz,7/1/2014,91
884,MINI,Cooper Clubman,11/2/2019,96
885,Kia,Sportage,9/27/2011,82
886,Dodge,Ram 2500,2/20/2013,74
887,Pontiac,Grand Am,1/11/2014,93
888,Pontiac,Sunfire,9/13/2015,92
889,Lexus,ES,11/2/2019,62
890,Jeep,Wrangler,9/4/2014,73
891,Saab,900,3/8/2011,94
892,Land Rover,Defender 90,7/14/2019,34
893,Hyundai,Santa Fe,9/23/2014,92
894,Audi,TT,2/6/2013,56
895,Volvo,V50,11/11/2010,26
896,Buick,Century,1/30/2010,56
897,Subaru,Forester,2/21/2012,21
898,Mitsubishi,Pajero,10/13/2013,100
899,Hyundai,Santa Fe,5/26/2019,93
900,Mitsubishi,Lancer,8/8/2015,26
901,BMW,5 Series,6/20/2013,45
902,Geo,Prizm,7/1/2012,33
903,GMC,Jimmy,6/4/2010,93
904,Ford,Mustang,9/4/2019,25
905,Mercury,Mystique,12/2/2014,77
906,Subaru,Impreza,3/5/2013,57
907,Mazda,Miata MX-5,10/4/2012,61
908,Hyundai,Sonata,7/9/2012,22
909,Jaguar,XK Series,8/14/2015,95
910,Lincoln,Mark VIII,2/21/2018,81
911,Nissan,Maxima,7/28/2018,79
912,GMC,Savana 1500,7/4/2018,97
913,Land Rover,Discovery,12/18/2010,100
914,GMC,Envoy,7/11/2016,
915,Jeep,Grand Cherokee,10/9/2017,28
916,Mercury,Capri,10/16/2014,62
917,Mercedes-Benz,S-Class,3/10/2012,71
918,Mercury,Mountaineer,4/28/2010,62
919,Mercury,Grand Marquis,9/15/2011,54
920,Toyota,Highlander,2/4/2014,
921,Mazda,CX-9,12/14/2017,96
922,Ford,Explorer,7/22/2013,34
923,Chevrolet,Suburban,4/11/2018,25
924,Chevrolet,Tracker,5/20/2017,29
925,Volvo,S70,3/7/2013,64
926,Mercury,Cougar,4/26/2016,33
927,Subaru,XT,11/25/2015,
928,Dodge,Ram 1500 Club,8/10/2018,
929,Maserati,Spyder,1/8/2014,60
930,GMC,Canyon,11/18/2013,96
931,BMW,M3,12/28/2014,30
932,Honda,S2000,10/26/2016,77
933,Hyundai,Tiburon,3/26/2017,
934,Suzuki,Grand Vitara,1/26/2014,74
935,Subaru,Impreza,6/10/2010,13
936,Ford,Th!nk,12/12/2014,54
937,Ford,Econoline E250,6/7/2011,77
938,Chevrolet,Avalanche,4/18/2011,45
939,GMC,Savana 2500,9/24/2015,96
940,Pontiac,GTO,4/7/2012,20
941,Honda,Prelude,3/21/2012,46
942,Ford,Edge,11/1/2013,33
943,Subaru,Outback,11/22/2013,81
944,Toyota,Tacoma,12/28/2018,35
945,Dodge,Caravan,1/22/2015,19
946,Nissan,Sentra,9/16/2018,43
947,Suzuki,Daewoo Lacetti,1/5/2010,66
948,Subaru,SVX,8/31/2012,95
949,Ford,Explorer,5/23/2016,92
950,Mercedes-Benz,SLK-Class,11/24/2013,74
951,Lexus,LS,9/21/2015,88
952,Bentley,Continental GTC,2/15/2012,62
953,Dodge,Aries,6/6/2017,16
954,Toyota,4Runner,7/31/2014,26
955,Land Rover,Defender 90,12/16/2016,97
956,Pontiac,Grand Prix,12/31/2016,79
957,GMC,Yukon,7/7/2013,100
958,Cadillac,STS-V,1/8/2010,43
959,Mazda,RX-7,8/14/2010,24
960,Volkswagen,Jetta,3/7/2010,17
961,Maserati,Quattroporte,2/24/2015,27
962,Volkswagen,Eurovan,2/1/2013,79
963,Chevrolet,Express 2500,1/14/2014,100
964,Dodge,Grand Caravan,1/3/2018,92
965,Mitsubishi,Lancer,6/12/2015,20
966,Buick,LeSabre,2/28/2013,
967,Chevrolet,Camaro,2/4/2015,30
968,Lexus,IS-F,11/15/2014,44
969,Toyota,Highlander,3/6/2019,18
970,Infiniti,Q,10/24/2017,20
971,Honda,Pilot,7/1/2017,10
972,Lexus,SC,2/12/2015,36
973,Mazda,Tribute,1/1/2018,100
974,Mazda,B-Series Plus,1/22/2012,34
975,Lexus,LX,1/27/2010,58
976,Acura,SLX,11/29/2010,50
977,Porsche,928,9/25/2018,99
978,Kia,Borrego,12/16/2013,66
979,Chrysler,PT Cruiser,9/7/2010,62
980,Mitsubishi,Chariot,5/7/2018,98
981,Subaru,Impreza,3/6/2017,99
982,Nissan,Sentra,11/23/2012,53
983,Ford,Expedition,5/25/2013,61
984,Land Rover,Discovery Series II,2/17/2014,66
985,Volkswagen,Passat,4/2/2015,22
986,Mazda,Miata MX-5,4/30/2014,39
987,Aston Martin,DB9,6/18/2014,39
988,Mercedes-Benz,S-Class,6/19/2017,33
989,Nissan,200SX,1/2/2013,31
990,Honda,S2000,1/26/2016,77
991,Ford,Freestar,1/27/2016,86
992,Oldsmobile,98,6/29/2013,98
993,Dodge,Dakota,6/16/2013,77
994,Pontiac,Montana,8/6/2019,
995,Mitsubishi,Mighty Max,7/7/2019,64
996,BMW,6 Series,6/16/2019,33
997,Volkswagen,GLI,1/18/2019,38
998,Porsche,911,5/9/2013,39
999,Toyota,Tercel,10/16/2019,28
1000,Toyota,4Runner,1/17/2014,81
